지표,값,단위,전일比%,요약(쉬운말)
원/달러 환율,1529.37,원,-0.83,
코스피,8088.34,pt,5.76,
반도체지수 SOX,12626.222,pt,-5.44,
천연가스 (LNG 대리),3.205,USD,0.28,천연가스 가격이 3.245달러로 1.53% 상승했습니다. 천연가스는 우리가 음식을 데우는 연료를 말합니다. 이 가격은 롤러코스터처럼 등락을 반복하는 경제의 지표입니다. 기업들은 이런 변화 속에서 새로운 미래를 준비하고 있습니다.
구리 선물,6.238,USD/lb,2.02,
WTI 유가,68.3,USD,-0.57,
한국전력,38250.0,원,0.26,"한국전력 주가는 38,250원으로 조금 올랐습니다. 이 수치는 주식 시장의 날씨와 같습니다. 날씨는 오늘 어제보다 0.26% 따뜻해졌습니다. 지표는 기업의 건강 상태를 숫자로 보여줍니다."
삼성전자,309500.0,원,8.22,
SK하이닉스,2425000.0,원,10.88,
엔비디아,194.83,USD,-1.39,
금 선물,4199.5,USD,2.11,
미 10년물 금리,4.485,%,0.22,미 10년물 금리는 시장의 나침반이며 4.485%입니다. 나침반은 길을 찾듯 경제의 방향을 가리킵니다. 현재 수치는 어제보다 0.22% 올라 조금 솟았습니다. 금리가 오르면 돈의 값이 비싸진다는 뜻입니다.
