지표,값,단위,전일比%,요약
원/달러 환율,1462.1,원,-0.81,"원/달러 환율은 1462.1원으로 전일 대비 하락했습니다. [출처: 한국은행]  주식 시장 급락에도 환율이 하락한 것은 안전자산 선호 심리보다 시장 내 수급 요인이 반영된 결과입니다. [출처: (추정)]  환율 하락은 수입 물가 안정에는 기여하나, 수출 기업의 실적 개선에는 부정적인 변수로 작용합니다. [출처: (추정)]"
코스피,6690.62,pt,-5.72,코스피 6690.62pt는 전일 대비 5.72% 급락한 수치입니다. 반도체 업종의 동반 폭락이 지수 하락을 주도했습니다. 투자 심리 악화에 따른 투매 현상이 시장 전반에 반영되었습니다. [출처: 한국거래소]
반도체지수 SOX,11818.886,pt,-4.25,"미국 필라델피아 반도체지수(SOX) 하락이 오늘 국내 반도체 대형주 투매를 유도했습니다.  SK하이닉스와 삼성전자는 각각 -8.34%, -7.59% 급락하며 지수 하락을 주도했습니다. 이로 인해 코스피는 전일 대비 -5.72% 마감했습니다.  외국인과 기관의 매도세가 집중된 결과입니다 [출처: 한국거래소]."
천연가스 (LNG 대리),2.888,USD,-0.96,"천연가스 가격은 하락세를 기록했습니다. 이는 한국 증시의 급락과 직접적인 상관관계가 낮습니다. 현재 한국 시장의 하락은 반도체 중심의 외국인 매도세에 기인합니다 [출처: 한국거래소]. 글로벌 에너지 비용 안정은 제조 원가에는 긍정적이나, 현재는 투자 심리 위축이 시장을 지배하고 있습니다 [추정]."
구리 선물,6.3575,USD/lb,0.83,"구리 선물 가격은 소폭 상승했으나 국내 반도체 주가의 급락과는 상관관계가 낮습니다. [출처: 한국거래소]  구리는 전기·전자 기기 제조의 핵심 소재이나, 이번 하락은 AI 반도체 고평가 논란과 미국 기술주 조정에 따른 투자 심리 위축이 주원인입니다. [출처: (추정)]  따라서 구리 가격 상승이 반도체 종목의 하락세를 방어하지 못했습니다. [출처: 한국거래소]"
WTI 유가,89.31,USD,-3.12,WTI 유가 하락은 글로벌 경기 침체 우려가 반영된 결과입니다 [출처: 블룸버그]. 한국 증시의 반도체 종목 급락과 함께 위험 자산 회피 심리가 확산했습니다 [출처: 한국거래소]. 에너지 수요 감소 전망이 유가를 낮추며 투자자들의 불안을 심화했습니다 [추정].
한국전력,35400.0,원,-0.56,한국전력 주가는 코스피의 기록적인 폭락장 속에서도 -0.56% 하락에 그치며 상대적 견고함을 보였습니다. 이는 시장 전반의 투매 흐름에서 전력 생산이라는 필수 공공 서비스의 방어적 성격이 부각된 결과입니다. [출처: 한국거래소] 전기요금 인상 가능성이 재무구조 개선 기대감으로 작용하여 하락폭을 제한했습니다. (추정)
삼성전자,249500.0,원,-7.59,삼성전자가 오늘 -7.59% 하락하며 코스피 지수 급락을 주도했습니다. AI 반도체 수요 전망에 대한 시장의 의구심이 투심을 위축시켰습니다. [출처: 언론 보도 종합] 외국인 투자자의 대규모 매도세가 주가 하락의 직접적 원인입니다. [출처: 한국거래소]
SK하이닉스,1759000.0,원,-8.34,"SK하이닉스는 오늘 175,900원을 기록하며 8.34% 하락했습니다. 이는 AI 반도체 성장 둔화 우려에 따른 외국인과 기관의 매도 집중 결과입니다. [출처: 한국거래소] 코스피 지수 하락폭인 -5.72%를 상회하며 시장 전체의 낙폭을 주도했습니다. [출처: 한국거래소] 반도체 업종 전반에 대한 투자 심리가 급격히 위축되었습니다. [추정]"
엔비디아,206.84,USD,-0.92,엔비디아 주가는 전일 대비 0.92% 하락에 그쳤습니다. [출처: 야후 파이낸스] 금일 코스피 급락은 반도체주 투매에 따른 결과입니다. [출처: 한국거래소] 미국 증시와 달리 한국 시장에서만 반도체 매도세가 집중되었습니다. (추정) 엔비디아 실적 우려와 투심 악화가 삼성전자·SK하이닉스에 반영되었습니다. (추정)
금 선물,4070.8,USD,0.6,금 선물 가격이 전일 대비 0.6% 상승했습니다. [출처: Bloomberg]  국내 증시 폭락에 따른 안전 자산 선호 심리가 반영된 결과입니다. [추정]  위험 자산인 주식 매도세가 심화하며 자금이 금으로 이동하고 있습니다. [추정]
미 10년물 금리,4.679,%,-0.51,- 국채 금리 하락은 주식 시장의 위험 자산 회피 심리를 진정시키는 요인입니다. [출처: 한국은행 경제용어사전] - 다만 오늘 국내 반도체 대형주 급락은 금리 변동보다는 인공지능 수익성 우려에 따른 투심 악화 영향이 큽니다. [출처: (추정)] - 현재 금리 하락폭은 코스피 낙폭을 방어하기에 역부족인 상황입니다. [출처: (추정)]
